ID	adj.P.Val	P.Value	t	B	logFC	GI	Gene.symbol	Gene.title
ILMN_1840316	0.9997	0.90675475	0.117814	-5.075	0.01846283	39795805		
ILMN_1880350	0.9997	0.90677461	0.1177888	-5.075	0.01224625	27880267		
ILMN_1657888	0.9997	0.90677551	-0.1177877	-5.075	-0.01235086	118442836	SALL1	spalt like transcription factor 1
ILMN_3229210	0.9997	0.90679756	0.1177597	-5.075	0.01819483	NA		
ILMN_3250798	0.9997	0.90680825	0.1177461	-5.075	0.0168625	NA		
ILMN_1664435	0.9997	0.90680945	-0.1177446	-5.075	-0.01267692	NA		
ILMN_1855058	0.9997	0.90685281	-0.1176895	-5.075	-0.01566658	51586999		
ILMN_1686925	0.9997	0.90688446	-0.1176493	-5.075	-0.01517108	NA		
ILMN_1739257	0.9997	0.90690779	-0.1176197	-5.075	-0.02529931	83656779	EIF3E	eukaryotic translation initiation factor 3 subunit E
ILMN_1750876	0.9997	0.90697298	0.117537	-5.075	0.02897053	155722989	SLC4A1AP	solute carrier family 4 member 1 adaptor protein
ILMN_1700541	0.9997	0.9069935	-0.1175109	-5.075	-0.03605872	318037493	FBLN1	fibulin 1
ILMN_1681553	0.9997	0.90700973	0.1174903	-5.075	0.01561528	98961136	SUPT20H	SPT20 homolog, SAGA complex component
ILMN_1808374	0.9997	0.90701465	0.1174841	-5.075	0.0225905	109633042	SNTB2	syntrophin beta 2
ILMN_1660317	0.9997	0.90702998	-0.1174646	-5.075	-0.01652442	325652112	LEFTY1	left-right determination factor 1
