ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
2690_at	3.30e-05	8.32e-07	-6.4045556	5.77472	-1.14536313	growth hormone receptor
10287_at	3.30e-05	8.35e-07	6.4031821	5.77126	0.59057197	regulator of G-protein signaling 19
3101_at	3.32e-05	8.42e-07	6.4000516	5.76339	0.54593463	hexokinase 3
26119_at	3.32e-05	8.43e-07	6.3992349	5.76133	0.4743701	low density lipoprotein receptor adaptor protein 1
23452_at	3.47e-05	8.85e-07	6.3805472	5.7143	0.51397732	angiopoietin like 2
5788_at	3.64e-05	9.31e-07	6.3603959	5.66355	1.07576425	protein tyrosine phosphatase, receptor type C
3932_at	3.65e-05	9.37e-07	6.3581893	5.65799	0.9646788	LCK proto-oncogene, Src family tyrosine kinase
10417_at	3.70e-05	9.54e-07	6.351082	5.64008	1.49480543	spondin 2
391_at	3.71e-05	9.59e-07	6.3491433	5.63519	0.53438733	ras homolog family member G
4741_at	3.74e-05	9.70e-07	6.3447127	5.62403	0.91799243	neurofilament, medium polypeptide
9413_at	3.89e-05	1.01e-06	6.3281789	5.58233	0.78060022	family with sequence similarity 189 member A2
79071_at	3.93e-05	1.03e-06	6.3229851	5.56922	0.47313401	ELOVL fatty acid elongase 6
912_at	3.93e-05	1.03e-06	6.3216381	5.56583	0.69539812	CD1d molecule
25960_at	4.00e-05	1.05e-06	6.3136395	5.54564	0.52052418	adhesion G protein-coupled receptor A2
2350_at	4.00e-05	1.05e-06	6.312168	5.54193	1.07780242	folate receptor beta
3394_at	4.12e-05	1.09e-06	6.2995531	5.51007	1.48897325	interferon regulatory factor 8
3109_at	4.20e-05	1.12e-06	6.2899103	5.48572	0.90310336	major histocompatibility complex, class II, DM beta
7846_at	4.20e-05	1.12e-06	6.2898468	5.48556	0.81683994	tubulin alpha 1a
58529_at	4.21e-05	1.12e-06	-6.2870638	5.47853	-1.01987388	myozenin 1
2193_at	4.21e-05	1.13e-06	6.2866522	5.47749	0.64238478	phenylalanyl-tRNA synthetase alpha subunit
51330_at	4.21e-05	1.13e-06	6.2851094	5.47359	1.61957321	TNF receptor superfamily member 12A
1894_at	4.22e-05	1.14e-06	6.2828089	5.46777	0.75108741	epithelial cell transforming 2
4688_at	4.22e-05	1.14e-06	6.2819588	5.46563	1.79625609	neutrophil cytosolic factor 2
3059_at	4.22e-05	1.14e-06	6.2806707	5.46237	1.1488022	hematopoietic cell-specific Lyn substrate 1
11010_at	4.26e-05	1.16e-06	6.2757528	5.44994	1.09160917	GLI pathogenesis related 1
8436_at	4.27e-05	1.17e-06	-6.2730982	5.44323	-1.09118925	serum deprivation response
10859_at	4.27e-05	1.17e-06	6.2727551	5.44236	0.64053491	leukocyte immunoglobulin like receptor B1
9124_at	4.46e-05	1.22e-06	6.2544379	5.39604	0.6679715	PDZ and LIM domain 1
26011_at	4.48e-05	1.23e-06	6.2516999	5.38911	0.86215309	teneurin transmembrane protein 4
6509_at	4.50e-05	1.24e-06	6.2484757	5.38095	0.45030888	solute carrier family 1 member 4
23180_at	4.55e-05	1.26e-06	6.2430933	5.36733	0.82392947	raftlin, lipid raft linker 1
6489_at	4.59e-05	1.27e-06	6.2381591	5.35485	0.47136227	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 1
7754_at	4.59e-05	1.28e-06	-6.2373674	5.35284	-0.52811388	zinc finger protein 204, pseudogene
27122_at	4.66e-05	1.30e-06	6.23023	5.33477	1.56145793	dickkopf WNT signaling pathway inhibitor 3
7127_at	4.79e-05	1.34e-06	6.218609	5.30534	0.5507788	TNF alpha induced protein 2
9582_at	4.82e-05	1.36e-06	6.2140266	5.29373	0.89838288	apolipoprotein B mRNA editing enzyme catalytic subunit 3B
3428_at	4.82e-05	1.36e-06	6.2134525	5.29228	0.76487047	interferon gamma inducible protein 16
57669_at	4.82e-05	1.36e-06	-6.2126837	5.29033	-0.67551342	erythrocyte membrane protein band 4.1 like 5
7058_at	4.82e-05	1.37e-06	6.2112153	5.28661	1.9947146	thrombospondin 2
10460_at	4.91e-05	1.39e-06	6.2031419	5.26615	0.55642356	transforming acidic coiled-coil containing protein 3
7059_at	4.91e-05	1.40e-06	6.2017813	5.2627	0.56202781	thrombospondin 3
5294_at	4.91e-05	1.40e-06	6.2008296	5.26029	0.49055214	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma
64699_at	4.93e-05	1.41e-06	6.1984013	5.25413	0.68076197	transmembrane protease, serine 3
28999_at	4.95e-05	1.42e-06	-6.1958054	5.24755	-0.54332773	Kruppel like factor 15
9158_at	4.98e-05	1.44e-06	6.1919598	5.2378	0.4934621	FGF1 intracellular binding protein
1307_at	5.12e-05	1.48e-06	6.1799816	5.20742	1.24539882	collagen type XVI alpha 1 chain
9242_at	5.15e-05	1.49e-06	6.1766932	5.19908	0.76981833	musculin
4281_at	5.16e-05	1.50e-06	6.174567	5.19369	0.72395276	midline 1
6355_at	5.24e-05	1.53e-06	6.1671292	5.17481	1.40484141	C-C motif chemokine ligand 8
760_at	5.24e-05	1.53e-06	-6.1670208	5.17454	-1.40948317	carbonic anhydrase 2
9532_at	5.26e-05	1.55e-06	6.1629309	5.16416	1.27861232	BCL2 associated athanogene 2
5025_at	5.26e-05	1.55e-06	6.1627494	5.1637	0.60288394	purinergic receptor P2X 4
9448_at	5.26e-05	1.55e-06	6.1609957	5.15925	0.75496468	mitogen-activated protein kinase kinase kinase kinase 4
9837_at	5.26e-05	1.56e-06	6.1599131	5.1565	0.99351939	GINS complex subunit 1
4837_at	5.26e-05	1.56e-06	6.1594148	5.15523	2.07728112	nicotinamide N-methyltransferase
7993_at	5.26e-05	1.56e-06	6.1585134	5.15295	0.49286894	UBX domain protein 8
81855_at	5.28e-05	1.57e-06	6.1560872	5.14679	0.71239111	sideroflexin 3
10875_at	5.29e-05	1.58e-06	6.154424	5.14256	0.71877684	fibrinogen like 2
1191_at	5.30e-05	1.59e-06	6.152325	5.13723	1.73457444	clusterin
2720_at	5.32e-05	1.60e-06	6.1500071	5.13135	0.62355069	galactosidase beta 1
7584_at	5.46e-05	1.65e-06	6.1391488	5.10377	0.46026474	zinc finger protein 35
79095_at	5.49e-05	1.66e-06	6.1347646	5.09263	0.83227731	chromosome 9 open reading frame 16
8707_at	5.49e-05	1.66e-06	-6.1346941	5.09245	-1.47245466	beta-1,3-galactosyltransferase 2
80014_at	5.60e-05	1.70e-06	-6.1260656	5.07053	-0.59272066	WW and C2 domain containing 2
51303_at	5.61e-05	1.71e-06	6.1243557	5.06618	0.9060777	FK506 binding protein 11
2538_at	5.65e-05	1.73e-06	-6.1204171	5.05617	-1.59973667	glucose-6-phosphatase catalytic subunit
2770_at	5.67e-05	1.74e-06	6.1172288	5.04807	0.80702954	G protein subunit alpha i1
2331_at	5.67e-05	1.74e-06	6.1163093	5.04573	1.07161347	fibromodulin
7076_at	5.67e-05	1.75e-06	6.1156264	5.04399	0.94847442	TIMP metallopeptidase inhibitor 1
80345_at	5.70e-05	1.77e-06	6.1118611	5.03442	0.52784797	zinc finger and SCAN domain containing 16
2123_at	5.70e-05	1.77e-06	6.1115544	5.03364	1.68022993	ecotropic viral integration site 2A
827_at	5.70e-05	1.77e-06	6.1105314	5.03104	1.12219568	calpain 6
1363_at	5.71e-05	1.79e-06	6.1074349	5.02316	1.21484343	carboxypeptidase E
22941_at	5.71e-05	1.79e-06	-6.1070016	5.02206	-0.80124838	SH3 and multiple ankyrin repeat domains 2
55332_at	5.71e-05	1.79e-06	6.1066454	5.02116	0.8151439	DNA damage regulated autophagy modulator 1
29901_at	5.75e-05	1.80e-06	6.103522	5.01321	0.80770285	SAC3 domain containing 1
23580_at	5.75e-05	1.81e-06	-6.1024362	5.01045	-0.48167086	CDC42 effector protein 4
