ID	adj.P.Val	P.Value	t	B	logFC	SPOT_ID
79077_at	2.17e-02	6.59e-03	2.901682	-2.812128	0.2166218	79077_at
8515_at	2.17e-02	6.61e-03	-2.900854	-2.814052	-0.4035334	8515_at
22846_at	2.18e-02	6.61e-03	2.900635	-2.81456	0.3637391	22846_at
64427_at	2.18e-02	6.64e-03	-2.898843	-2.818723	-0.2711189	64427_at
65094_at	2.19e-02	6.65e-03	-2.898388	-2.819779	-0.3070662	65094_at
3550_at	2.19e-02	6.65e-03	2.898334	-2.819905	0.1900292	3550_at
6398_at	2.19e-02	6.66e-03	2.897593	-2.821624	0.4346552	6398_at
5108_at	2.19e-02	6.67e-03	-2.89706	-2.822862	-0.198125	5108_at
2916_at	2.20e-02	6.70e-03	-2.895394	-2.826728	-0.5477721	2916_at
10317_at	2.20e-02	6.71e-03	-2.895012	-2.827614	-1.3518036	10317_at
3696_at	2.20e-02	6.72e-03	-2.894441	-2.828939	-0.5861449	3696_at
5987_at	2.21e-02	6.73e-03	-2.893541	-2.831026	-0.2332992	5987_at
7150_at	2.21e-02	6.74e-03	2.89285	-2.83263	0.4152822	7150_at
55083_at	2.21e-02	6.74e-03	2.892831	-2.832674	0.5494232	55083_at
309_at	2.21e-02	6.75e-03	-2.892688	-2.833005	-0.4968811	309_at
221395_at	2.21e-02	6.75e-03	2.892648	-2.833098	0.4078052	221395_at
23635_at	2.21e-02	6.75e-03	-2.892601	-2.833207	-0.1809696	23635_at
10498_at	2.21e-02	6.76e-03	-2.892058	-2.834465	-0.2303947	10498_at
10636_at	2.21e-02	6.76e-03	-2.891925	-2.834773	-0.2949746	10636_at
200424_at	2.21e-02	6.76e-03	-2.891779	-2.835112	-0.4180244	200424_at
26088_at	2.21e-02	6.77e-03	-2.891506	-2.835745	-0.2035026	26088_at
5269_at	2.21e-02	6.77e-03	2.891497	-2.835767	0.2562223	5269_at
7476_at	2.22e-02	6.77e-03	-2.891015	-2.836884	-1.2378335	7476_at
10057_at	2.22e-02	6.77e-03	-2.891006	-2.836905	-0.2792265	10057_at
4296_at	2.22e-02	6.78e-03	2.890846	-2.837276	0.2582208	4296_at
8853_at	2.22e-02	6.79e-03	-2.890188	-2.838802	-0.2403697	8853_at
1770_at	2.22e-02	6.80e-03	2.889523	-2.840342	0.4905055	1770_at
25940_at	2.22e-02	6.80e-03	2.889217	-2.841053	0.1466396	25940_at
765_at	2.22e-02	6.81e-03	-2.888974	-2.841615	-1.1827288	765_at
79932_at	2.22e-02	6.81e-03	-2.888919	-2.841742	-0.3943753	79932_at
4208_at	2.22e-02	6.81e-03	2.888691	-2.842271	0.3194693	4208_at
5063_at	2.23e-02	6.82e-03	-2.888295	-2.843189	-0.4120883	5063_at
9638_at	2.23e-02	6.83e-03	-2.887959	-2.843966	-0.3187386	9638_at
10211_at	2.23e-02	6.83e-03	-2.887777	-2.844388	-0.355862	10211_at
